Product Name,Rating,Review,Likes,Dislikes
A-Realme 12 5G,5,"Realme always best and realme 12 plus very awesome phone good camra ,good processor, realme always best  i am only realme phone user",690,137
A-Realme 12 5G,5,Camera quality just wonderful.....,16,0
A-Realme 12 5G,4,"Camera 5/5
Battery 4/5
Performance 4/5
Display 5/5
Design 5/5
Camera 5/5",205,42
A-Realme 12 5G,4,Best budget phone ever,314,73
A-Realme 12 5G,5,I'm in love with the attention to detail in the luxury watch design of this phone,317,64
A-Realme 12 5G,5,Aswam product on this price,25,2
A-Realme 12 5G,5,Overall good and handy,49,8
A-Realme 12 5G,5,Very nice product from real me,69,15
A-Realme 12 5G,5,Nice work realme,32,5
A-Realme 12 5G,5,Superb quality phones,121,34
A-Realme 12 5G,5,"Overall a good phone.
Performance good
Camera quality is awesome in day and night mode.
Battery performance good.",26,4
A-Realme 12 5G,5,GOOD PHONE,9,0
A-Realme 12 5G,5,Camera quality just wonderful.....,18,2
A-Realme 12 5G,5,"Camera - 5/5
Battery - 3/5 (if in 5g all the time)
Performance - 4.5/5
Display - 5/5
Speakers - 5/5
Connectivity - 5/5
Interface - 2/5 (Too much bloatware)",30,6
A-Realme 12 5G,5,best visual experience with 120Hz OLED display,28,6
A-Realme 12 5G,4,"The build quality and style of the phone is very good..
1.Battery: (10/10) Its battery backup is good, it gets fully charged in 1 hour.
2.camera: (08 out of 10)
3. Fingerprint sensor works very well
4. Look: The phone looks very nice.
5. Keeping in mind the overall quality of the phone, its features and other things, I want to give it four stars out of five.",5,0
A-Realme 12 5G,5,Camera is really good in this phn you can have really amazing picture quality with this or agr is segment m itni achi picture quality mil rhi h then it's a really worthy phn i think,20,5
A-Realme 12 5G,4,Camera quality is amazing and powerful performance,14,3
A-Realme 12 5G,3,Except the battery remaining all are top notch. Performance wise good. But battery not good. I am using normal only but battery power reduce very fast.,17,2
A-Realme 12 5G,4,Osm camera,31,12
A-Realme 12 5G,5,"Camera, feature, display, design etc... all are very very good just go for it.",9,1
A-Realme 12 5G,5,Periscope camera considered as a game-changer in the realme phones. This can be particularly useful for photography.,13,3
A-Realme 12 5G,5,"Great phone with great performance, cameras performance is an average ,",5,0
A-Realme 12 5G,5,"Great product....go for it....after using few days my opinion as below.
Display :- 5/5, amoled display and very good brightness in sunlight also...
Camera:- 5/5, Sony sensor works great and selfi camera is also good...
Processor:- Fast enough if you are not heavy game user
Design and Look:- Feels premium like costly phone and weight is light...
Sound:- very good speakers....
Overall you can buy this without any debut....
Battery and charging:- 5000 mah can easily run about one and half day... charging speed is very fast about 40 to 50 min with 67w charger",5,0
A-Realme 12 5G,5,"Nice phone
Value for money
No other phone is better realme phones
Camera also fantastic  
Best looking and design phone
I love you it
Still I am using realme 6 onwards 4 years not any problem facing like charging or camera
If you realme lover happily go for it.....",18,6
A-Realme 12 5G,4,Everything is okay but due to leather back sometimes it gets slightly heat while charging for more than 20 mins.,11,3
A-Realme 12 5G,4,Very Nice,9,2
A-Realme 12 5G,5,"Phone is good  
Camera ok
battery backup not good but fast charging",7,0
A-Realme 12 5G,5,I like this phone very much. This phone has overall features. Very good phone in its segment..,23,9
A-Realme 12 5G,5,Very nice phone in this budget,4,0
A-Realme 12 5G,5,Best,4,0
A-Realme 12 5G,5,"Pros:
1. Great camera
2. Great display
3. 3.5mm jack, SD slot
4. Design

Cons:
1. Dimensity 7050 is a rebranded 3 yr old cpu, average performance
2. Terrible ram management
3. 120Hz is not optimised well
4. Oversaturated af pics. Edit or use Gcam",7,2
A-Realme 12 5G,5,"Very good smartphone
Just love it  
Camera 5
Performance 5
Display 5
Design is awesome
Just go for it",14,6
A-Realme 12 5G,4,Supb,3,0
A-Realme 12 5G,4,"Camera -4.5/5
Display -5/5
Charging - very fast
Processor - speed
Overall it is a nice phone.",3,0
A-Realme 12 5G,4,Nice,3,0
A-Realme 12 5G,4,"Camera 4/5
Performance 3/5
Battery 5/5
Display 4/5
Design 5/5",2,0
A-Realme 12 5G,5,"Best in this segment
Flat edges gives you premium feel..
Best in class camera
Fast charging (100% in 47 minutes)
Blazing fast performance
Smooth UI ( you get some bloatware pre installed but you can uninstall it)
And one best thing, you get UFS 2.2 storage type which no phone gives you in this price segment",3,0
A-Realme 12 5G,5,"Best phone for camera , gaming and daily purposes..",3,0
A-Realme 12 5G,5,"I like this device.
Camera iss ossm. Natural photo click.
Performance is good. It's allrounder.
Battery is good with 67watt charging. Almost 45 min 0-100% charging. Backup is good almost 6.5+hrs SOT on normal usage.",3,0
A-Realme 12 5G,5,Camara is next level,2,0
A-Realme 12 5G,5,This is a nice product but battery is need to improvement bcoz very slow down,3,0
A-Realme 12 5G,5,Best all rounder phone in this segment...I love this phone,3,0
A-Realme 12 5G,5,The 120Hz OLED display is perfect for streaming movies and playing games,4,1
A-Realme 12 5G,3,"Pros
1.Battery backup and fast charging
2.Display
3.Rear camera
Cons
1.Front camera is not good it's below average
2.Red colour tint on skin colour,it looks very bad
3.Both phone and charger is heating while charging
4.Packaging is worst from Flipkart
5.Air gesture is totally not working
6.Sound quality is okay okay

Realme should quickly take a look on this issue kindly push update on these",4,0
A-Realme 12 5G,4,Overpriced as per specs. Better to go for narzo 70 pro,7,3
A-Realme 12 5G,4,Camera quality is very good..,4,1
A-Realme 12 5G,5,Nice camera in this price range,7,3
