Product Name,Rating,Review,Likes,Dislikes
B-Poco F4 5G,5,"Good mobile... having good camera
Performance is very good
Charging is very fast
Little bit weight
Only side figure print option",395,32
B-Poco F4 5G,4,"I was looking for a worthy upgrade to my Redmi K20 pro and I think this phone ticks most of the boxes right.
Here's my opinion on this phone:
Display: Top class, no compromises. It's bright,vivid,easily visible outdoors. HDR and everything works fine. 120 Hz works good.

Sound: The stereo speakers with Dolby Atmos gives you rich and loud sound but they are not as loud as Redmi note 10 pro speakers but the sound quality is better.

Design: I have the black variant which actually looks better...
READ MORE",205,27
B-Poco F4 5G,5,"Camera above average.
MIUI- Although it's heavy, ni other interface comes even near to it when it comes to productivity.
Processor Qcomm 870, UFS 3.1 and LPDDR5 - An unmatchable combination. Thumbs up.
Display - Flagship level AMOLED E4 with GG5.
Looks and Feel - Best for me, as it's a personal preference.

Don't believe in speculations. It's a beast for this price.

Thanks to Flipkart and POCO.",123,14
B-Poco F4 5G,5,Wonderful,82,8
B-Poco F4 5G,5,"True flagship...
I am using this phone for last 8days...and till date there is no problem or shortcomings I have seen ever..display and performance is mind-blowing.camera is ok..ok..can take good pictures at day light.may improve image quality after some updates.very fast in app switching,multi tasking and much more. battery and charger are pretty well. everything is pretty fine.what else can you wish under 25k.just go for it.don't pay excess just pfor brand name..and status..this phone will ...
READ MORE",47,4
B-Poco F4 5G,4,"Display is smooth, battery charging speed is fine, Dual speakers are crisp, Camera yet to be tested, Performace is very quick, only 2 cons- No headphone jack but inbox jack connector is provided, No Memory card slot. Atleast poco would have provided hybrid slot.
Overall looks like killer phone at this price range. Feels like little phone gets heated up and camera is not yet upto the mark. Needs a lot of software updates.",66,8
B-Poco F4 5G,5,VERY GOOD GAMING PERFORMANCE AND FAST CHARGING AND ALSO GOOD CAMERA,27,1
B-Poco F4 5G,5,"This is an All Rounder. I have used it for a month. All excellent. Camera could have been better but Its definitely NOT as bad as it is perceived to be. I've taken some Superb pics on this. Snapdragon 870 makes this a beast. Display is the most attractive feature. Speakers are crisp and loud. Fast Charging is awesome.
Lastly, which phone offers you 2 years company warranty?
Go For it without any doubt!",79,9
B-Poco F4 5G,5,"This is my second poco phone and i am satisfied with this phone. This is my review after 10 days. 1) Display is awsome, you customise display colour profile in settings(as vivid, Saturated, DCI P3 colour gamut).
2) Performance is top notch. You can easily play BGMI, COD, Pubg New State at maximum graphics setting.
3) Camera is good enough. Daylight images are pretty good. Low light image are okayish.
4)Battery backup is average. You can get 6-7 hours battery backup on mediu...
READ MORE",141,23
B-Poco F4 5G,5,Satisfied....,42,4
B-Poco F4 5G,5,"Writing the review after nearly 2 weeks of using Poco F4.
I want to begin with the design of this phone. I don't think it's possible to not like the look of this phone. The glass back just looks so premium and so comfy to hold.
The UI has one unnecessary app but otherwise looks so clean and easy to use. 120hz display makes it so smooth and a memorable experience. You'd want to use your phone again and again.
The display is almost bezel less. The quality, clarity, colors is amazing.
The camera, for me seems good. Gets blurry if you're trying to take pictures while zooming in. Works well in the dark as well. Videos are smooth coz of OIS.
Performance has been satisfactory for me as well. I played Apex, BGMI and never experience jitters etc. The phone gets warm when you play for longer time in hot surroundings example when the room temperature is high or there's no cooling and that also isn't the uncomfortable kind of warmth.
To sum it up it has been a good purchase for me and I'm more than happy with the product.",414,91
B-Poco F4 5G,5,"Poco F4 is really awesome. I loved the display, one of the best in the segment. The speakers, haptics, performance, software, fingerprint scanner and charging is top notch. Cameras could have been improved but with the use of a right Gcam port, you will not complain. I'm also not a fan of the back design. You do feel different colours in the light but I guess not one would give do much time to appreciate the art . The back is quite boring and yes the phone is slippery. I haven't dared to put out the case and get the glass cracked. The Cons are minor compared to the Pros. I would highly recommend this. This is coming from the person who used the God level Poco F1 for 4 years and did not have any major issues.",78,11
B-Poco F4 5G,4,"Performance is too good...
Excellent gaming experience.",11,0
B-Poco F4 5G,5,"Best Performance,",41,7
B-Poco F4 5G,4,All is good but when I am listening a song with full sound I feel vibration in back side under the camera. Camera is superb,26,5
B-Poco F4 5G,5,"Nice display, smooth scrolling and better performance but a little bit of low camera quality but that could be the no problem for normal users all over value for money",29,5
B-Poco F4 5G,5,Worthy,7,0
B-Poco F4 5G,5,Excellent mobile 5to5rating,7,0
B-Poco F4 5G,5,"Pocco F4-All the strength. Everything u need.
After 3 days of use, I found it superb.
Slim Design, Display, Sound, performance,battery backup, and the Camera everything superb.",122,36
B-Poco F4 5G,4,Back camera is good but front camera is not good and battery performance is good and display is excellent I was experiance good after use and other wise i setisfy in this segment phone,69,25
B-Poco F4 5G,5,"Phone is good according to the price
overall experience is so good",20,3
B-Poco F4 5G,5,Nice Experience,26,6
B-Poco F4 5G,5,Super cute,5,0
B-Poco F4 5G,5,Camera good at daylight but not good at low light.. Battery back up is awesome chatging time-48 min(0-100)%.. Haptick feedback is so smooth.. Display and sound is killer man touch is smooth af...,121,49
B-Poco F4 5G,5,Fantastic,13,1
B-Poco F4 5G,5,Its good mobile under 25k its value for money. But the camara is not good as expected. Gaming performance is excellent. Slightly heat when you are playing games.,9,1
B-Poco F4 5G,4,Super mobile but battery is worst,15,5
B-Poco F4 5G,5,Using the phone from last 5 days and it's really good.. Display camera battery speakers everything is good over here... Software have little bugs but that's fine for me..,6,0
B-Poco F4 5G,5,"This Phone Is not meant for camera but it gives high performance.
Mobile gets full charge in and around 40minutes
Overall i liked this Phone",5,0
B-Poco F4 5G,5,"Overall a good phone but battery optimisations are required. Awesome display, nice camera.",11,2
B-Poco F4 5G,5,"This is a good phone, the 870 is powerful in everything you throw at it. Display is extremely good with small bezels and colour reproduction is great. The sound is also superb with dolby atmos. Main camera is decent, it perform well in well lit conditions but pictures become soft in low light. Wide angle camera isn't very good, pictures come grainy and with high levels of contrast. Wide angle camera performs poorly in low light as expected from a 8 mp camera. Build quality feels good, nothing to complain about. Nebula green is 7matte and black has a glossy back.",7,1
B-Poco F4 5G,4,"After 3 days of uses I am writing my review

1Display - display is top notch no issue with it

2 speakers - feels low but no other issue

3Performance- Snapdragon 870 does it works  

4camera - average

5 ui - miui you know it better

6 value for money - I got this phone in 15k after exchange and it's worth it

Overall if you don't use camera much like me and you're performance oriented than you can go for this",8,2
B-Poco F4 5G,5,Good mobile and excellent processing Android phone,11,3
B-Poco F4 5G,4,"Pros :- Amazing Display
Powerful charger and good battery backup
Haptic feedback is excellent
When u play games the phones heats up but cools down very quickly
Apex legends works on 60fps

Cons:- Bloatware and MiUI
Camera is bad not even average
Sound of speakers feels bit low
Lag in certain apps maybe it's due to MIUI",39,19
B-Poco F4 5G,5,"Awesome phone for that price (my other options included realme GT Neo 3t, iqoo Neo 6) ,since i don't like realme software i rejected them (even they are good  but i don't like )
1 little worried about battery
2 camera just takes what you see naturally,nothing crazy software optimisation,but if you edit it's good  (macro waste of space )
3 design is actually awesome except for camera circle design
4 quality of product is very good satisfied
5 software experience still need optimisation but i love miui
6 sound quality with Dolby rocks
7 display quality every nice with that small camera in front experience is also nice
8 call quality is same and nice
9 processor supports most 5g bands and is most stable 5g processor currently
Best to buy if you don't mind software experience and natural like camera",5,0
B-Poco F4 5G,5,Good Camera,4,0
B-Poco F4 5G,4,"Performance is very Good.
Display quality osm.
Battery life is Avg.
Gaming experience very Good.
Camera quality Avg.
Phone in Hand feeling osm.
Overall phone is Good",18,6
B-Poco F4 5G,5,super mobile but very costly,7,3
B-Poco F4 5G,4,"Phone is very good. It does pack a good processor which allows multitasking.
Pros:
Good processor
Good display
Sound is good
OIS is v.good
Fast charging. Will charge fully within 40 mins.
IR blaster
Dual speakers. So you will feel sufficient sound while using speakers.

Cons:
*Phone feels little on a heavier side.
*Camera would have been little better but installing Google camera would rectify our feeling.
*would be nice to have indisplay finger print sensor. But side mount is fast as well.",8,2
B-Poco F4 5G,4,"Super mobile flagship mobile
Camera ok",5,1
B-Poco F4 5G,3,Battery drained too fast why poco,7,0
B-Poco F4 5G,4,"Pros- best display at this price segment..camera is more than average...fast procrsser..good for gamers runs every game almost higher settings...battery backup is average..

Cons- laggy ui , slow charging as compared to 67 watt charging...takes more than an hour to charge 0 to 100, whereas my previous realme x7 pro took 35 to 40 min to charge with 65 watt charger and both with same 4500mah battery..
Overall it would be a value for money phone if software update will resolve these problem..",3,0
B-Poco F4 5G,5,Awesome camera quality,26,12
B-Poco F4 5G,5,"1.display 10/10
2.battery 9/10
3.Camera 6/10
4.performance 9/10
5.call quality 9/10
6.cahrging 10/10

Value for money 9/10


The display is excellent.i love this phone display.",9,2
B-Poco F4 5G,5,Don't think negative of this phone just because of past POCO Phones reviews. This is a great Device in this price segment. Look and in Hand feel is good. The company is giving 2 years of warranty so rest assured. Just make sure that before doing any further update just check others review and then update to be sure about any future problems. Overall Great phone. Camera should be of sony's lens.,7,1
B-Poco F4 5G,4,Good phone .. display is good ..,9,2
B-Poco F4 5G,4,All Okay i purchased this Poco f4 in 15 January 2023 and got manufactured phone of 05/22 and battery drops very fast. . . .,6,1
B-Poco F4 5G,4,Incredible looks and performance,4,1
B-Poco F4 5G,4,I think it's pro mobile phone,8,2
B-Poco F4 5G,5,Awesome phone,4,1
B-Poco F4 5G,5,Excellent phone at a reasonable price...display is top notch...overall a better performance phone ..,7,2
B-Poco F4 5G,4,Good mobile Gcam picks very good,3,0
B-Poco F4 5G,4,"Using poco f4 phone from 1week
It's good phone  
Battery need to improve its getting drain",1,0
