Product Name,Rating,Review,Likes,Dislikes
C-Xiaomi 11 lite 128GB,4,"Actually a good phone.
Light weight, Slim,and handy.
But, the battery not so good as expected.
Even if we consider it has only a 4250mah battery but it also comes with an Amoled display. So the battery backup must be a quiet impressive.
And sometimes some glitches from the software side.
Overall it's a good phone for daily usages.",84,7
C-Xiaomi 11 lite 128GB,5,Excellent look..,136,12
C-Xiaomi 11 lite 128GB,5,Awesome mobile from Xiaomi,599,84
C-Xiaomi 11 lite 128GB,5,Overall good phone,119,12
C-Xiaomi 11 lite 128GB,5,Good product,300,40
C-Xiaomi 11 lite 128GB,5,"After 5 days use i realised that xiaomi 11 lite NE is best smartphone under 25k
Camera is too good in case of macro as well as potrait mode
Main camera, macro and wide angle all are supperb in daylight as well as in night for whom who really know to use cameras for photography
Battery is too good but if u use internet it drains little much quick
Performance is outstanding, large size applications also installed within 3 to 4 seconds it's really superb
33w fast charging is amazing work as 65w fast charging completes 1 to 100% in about 40 to 50 min.
Overall haptics, display, stearo speakers, 10bit display, connectivity like Bluetooth 5.1,wifi 6,NFC, IR balster for remote control, side mounted fingerprint are also content in this phone
Too many camera modes as compared to other smartphones
The best thing is charging speed, super macro, and installation speed
Overall this is really a value for money smartphone",136,15
C-Xiaomi 11 lite 128GB,4,"Overall nice phone
Lightest phone slim stunning body
Camera quality is nice
Dolby speaker fabulous audio
Fast battery charging
Display quality nice",24,1
C-Xiaomi 11 lite 128GB,5,"Nice product,   I love this mobile",113,12
C-Xiaomi 11 lite 128GB,4,"Everything is fine, it would have been great if the capacity of the battery was a little more.",103,15
C-Xiaomi 11 lite 128GB,4,Superb,36,3
C-Xiaomi 11 lite 128GB,4,"Very good parts - Design, light weight, display, Cameras.
Good Things - Charging(33W), speakers (No Dolby Atmos)
Okyaish Aspect- Battery 4250mAh

And the very impressive thing is 5MP macro camera, it's really good, I personally loved it experimenting and zooming in on different objects.

Suggestion - Go for it  . But if you want a good battery phone, then look at some other option because it lasts a day with regular usage but you have to plug in the charger in the evening.",82,13
C-Xiaomi 11 lite 128GB,5,Super slim Super lite weigh everything is Good . Nice Product by xiaomi.,389,77
C-Xiaomi 11 lite 128GB,5,Overall very good smartphone,14,0
C-Xiaomi 11 lite 128GB,5,Amazing,38,4
C-Xiaomi 11 lite 128GB,5,"Awesome phone
Fabulous camera like DSLR",20,1
C-Xiaomi 11 lite 128GB,5,"Camera and Display is superb
Light weight phone",82,14
C-Xiaomi 11 lite 128GB,5,"I got this phone on time. Best part about this phone is an allrounder phone. You'll get best camera, best battery backup, best performance because of Snapdragon 778 and the haptic feedback is just amazing. Overall I'm happy to get this phone.",335,78
C-Xiaomi 11 lite 128GB,5,Best camera,124,27
C-Xiaomi 11 lite 128GB,5,This is slimmest phone with lite weight & good looking. Consider for female use to easy handle. Display & Speaker are pretty good under this price range.,102,21
C-Xiaomi 11 lite 128GB,5,"Phone is good, front camera and super macro excellent, main camera really bad bad, battery good with super charger, display good.",139,33
C-Xiaomi 11 lite 128GB,4,"Nice phone and timely delivery
Once use will update further.",14,2
C-Xiaomi 11 lite 128GB,5,Most lovly,20,2
C-Xiaomi 11 lite 128GB,4,Nice phone,13,3
C-Xiaomi 11 lite 128GB,5,Just osm,7,0
C-Xiaomi 11 lite 128GB,5,Good,8,0
C-Xiaomi 11 lite 128GB,5,"This phone is awesome 
It's so premium, awesome looks,
Back camera is not so good, but if you know how to use camera perfectly then it's topppp 
Also selfie camera is awesome  
Performance is 87/100 percent 
730 is better than this processor",359,126
C-Xiaomi 11 lite 128GB,5,Just Wow <3,29,5
C-Xiaomi 11 lite 128GB,5,Good,35,6
C-Xiaomi 11 lite 128GB,5,Phone is very thin and the camera is also good,7,0
C-Xiaomi 11 lite 128GB,5,Good phone,18,4
C-Xiaomi 11 lite 128GB,5,Best phone,26,5
C-Xiaomi 11 lite 128GB,5,"Amazing phone value for money it s got all the feature like NFC ,Hybrid Slot ,12 band 5g, fast charging, snapdragon 7 series processor, Amoled display that flagship should have thank you Flipkart",93,30
C-Xiaomi 11 lite 128GB,5,"Night mode camera is good .
If you want more clear photo then go to the pro mode feature in camera it's just like awsome.",31,7
C-Xiaomi 11 lite 128GB,5,"Good quality clearing cama
Value for money
But battery capacity is light ly lower",22,4
C-Xiaomi 11 lite 128GB,4,Mobile is great   but changing data cable is cheap Quality & Delivery is late,5,0
C-Xiaomi 11 lite 128GB,5,Camera is good performance is also good but charging is average is this price point  .,7,0
C-Xiaomi 11 lite 128GB,5,Good phone,14,3
C-Xiaomi 11 lite 128GB,4,Best phone in this budget.,17,4
C-Xiaomi 11 lite 128GB,5,Super product,19,8
C-Xiaomi 11 lite 128GB,5,It's very good phone in this price. Camera good screen good but battery is not good. Chager very good,6,0
C-Xiaomi 11 lite 128GB,5,"Superb Mobile.
Battery backup not as expected. Other wise nice phone lite weighted. Camera quality good.",30,11
C-Xiaomi 11 lite 128GB,5,I like it camera,8,1
C-Xiaomi 11 lite 128GB,5,Beautiful phone in budget and with a advanced camera. I love the camera of this phone,8,1
C-Xiaomi 11 lite 128GB,5,It good but not too good average phone and it's a best when you search good locking phone and slim phone,50,25
C-Xiaomi 11 lite 128GB,4,Overall rating 4/5. The camera and performance rating 5/5 in this price segment. Macro and main lens is just awesome...,4,0
C-Xiaomi 11 lite 128GB,4,Good phone,2,0
C-Xiaomi 11 lite 128GB,4,Nice product but battery average 1day backup camera good display super lite wait over all ok,4,0
C-Xiaomi 11 lite 128GB,5,I gifted this phone for my mother & She liked it. Slim & light weight.. So handy.. Camera is nice..Don't expect it to be as superb as iphone 13 pro max!! It doesn't have maby apps installed. Its charging point is c type & there is a headphone accessory available with which wires headset can be connected.. Altogether I would like to give 4.5*,351,246
C-Xiaomi 11 lite 128GB,5,Super phone,16,3
C-Xiaomi 11 lite 128GB,5,Mobile is very nice,3,0
C-Xiaomi 11 lite 128GB,5,"Very good smartphone yarrr
I'm happy thanks flipkart",3,0
C-Xiaomi 11 lite 128GB,5,Nice phon go for it,2,0
C-Xiaomi 11 lite 128GB,4,"Pros;
>Nice camera quality with many features
>Nice display quality with 10-bit amoled screen
>Good sound quality
>Good features
>Amazing haptics with good quality fingerprint sensor
>Light in weight with premium looks

Cons;
>Need to update MIUI, it have some problem like it automatically set wallpaper to default after sometime I changed it.
> Heating issue only while playing games, good for normal use.


Overall good value for money phone, I suggest to buy this phone under 24k but remember this is not a gaming phone. If you need a phone like this + for gaming too then go for iqoo7. For normal daily uses, premium looks and for photography this one is a good choice. The only little problems I faced are in UI which needs to be fixed.",8,2
C-Xiaomi 11 lite 128GB,5,"It is very good product..I am happy to for buy this phone    ...
I loved this product.. And Also camera quality is awesome and sound is very good",36,22
C-Xiaomi 11 lite 128GB,5,"Best mobile phone ever, light in weight and very thin...",8,2
C-Xiaomi 11 lite 128GB,5,Very good,6,1
C-Xiaomi 11 lite 128GB,5,If you want an all around phone with a premium experience just go for it without any second thoughts... i got this for 23k and I am so happy with my purchase... Almost everything is great in this phone specially in hand feel and display.,7,1
C-Xiaomi 11 lite 128GB,4,Nice phone,7,2
C-Xiaomi 11 lite 128GB,5,Value for money,6,1
C-Xiaomi 11 lite 128GB,5,First photo portrait mode second photo 64 megapixel and third photo super micro,2,0
C-Xiaomi 11 lite 128GB,5,Go for it,2,0
C-Xiaomi 11 lite 128GB,5,Great mobile. It's fulky loaded.,1,0
C-Xiaomi 11 lite 128GB,4,"Everything is perfect about this phone. But, not happy with the battery performance.",7,2
C-Xiaomi 11 lite 128GB,5,Awesome,13,8
C-Xiaomi 11 lite 128GB,3,"Short review after 5 months ;

Display- fantastic.
Camera- Captures good images, but sometimes it lags when opening camera and have to reboot when that happens.
Performance- terrible experience, can't even play low end mobile games, and even with using any other normal games it lags and heats up quickly.
Call- I don't know what is happening with call, when I receive a call I get a rington and after a delay of 10-20 seconds I get pop up of incoming calls. Worst!

Battery- battery is excellent

Waiting for updates and hope the update changes this issue.

I hope I get",2,0
C-Xiaomi 11 lite 128GB,4,"Impressive camera, decent performance and excellent heptics and software. Overall a good phone :-)",1,0
C-Xiaomi 11 lite 128GB,4,Best phone in this segment thank u flipkart,1,0
C-Xiaomi 11 lite 128GB,5,"Good product
Camera quality Best",3,1
C-Xiaomi 11 lite 128GB,4,"After using this mobile more than 3 months...it's not worthy to buy.
Hanging issue started after two months and photo quality is also poor as compared to my last Note 8 pro.
It's just waste of money.",3,2
C-Xiaomi 11 lite 128GB,5,"Best in segment
Camera easily beats upcoming mobiles of higher segment
Battery backup is like okay I would say
Display is pathetic. It's a cheap amoled display which has black crush issue while playing videos.
If you doesn't consume content much like from Netflix and all you can go for it",2,0
C-Xiaomi 11 lite 128GB,5,Very nice phone,2,0
