Product Name,Rating,Review,Likes,Dislikes
D_Vivo v25 pro 5G,4,"Top notch display..
Amazing design..
Vivo is known for its camera..
Great battery backup.
Average processor.",263,30
D_Vivo v25 pro 5G,5,Awesome handset,1976,232
D_Vivo v25 pro 5G,4,The overall performance of the mobile is good. The display looks quite brighter. The front camera is not as expected. Battery backup is good. The design of the mobile is good.,91,8
D_Vivo v25 pro 5G,5,Camara Nice and performance so good,126,10
D_Vivo v25 pro 5G,5,Awsome camera,343,37
D_Vivo v25 pro 5G,5,Good phone loved it feels like premium...thanks Flipkart,199,19
D_Vivo v25 pro 5G,5,Best budget phone...,311,34
D_Vivo v25 pro 5G,5,Good performance,234,24
D_Vivo v25 pro 5G,4,Good looks n display n camera in budget,119,13
D_Vivo v25 pro 5G,4,Camera features very nice,112,12
D_Vivo v25 pro 5G,5,Beautiful and perfectly professional photography just awesome picture,51,3
D_Vivo v25 pro 5G,4,Impressive deal,57,5
D_Vivo v25 pro 5G,4,"Using from last 4 days..
Camera is best in v series.
Performance is very good.
Screen quality is also best in this segment.
Overall rating 4.5/5....",49,4
D_Vivo v25 pro 5G,5,Very good photo quality I loved it,160,18
D_Vivo v25 pro 5G,4,"Nice ,but stereo speakers ,Dolby Atmos ,and dimensity 8100max ,should be at this price",580,103
D_Vivo v25 pro 5G,5,Looks premium,30,1
D_Vivo v25 pro 5G,5,Good Camera Smartphone.Must Buy.,135,17
D_Vivo v25 pro 5G,4,Best,81,13
D_Vivo v25 pro 5G,5,"BEST CAMERA PHONE EVER (photo/video)
 
Selfie camera is Awesome  
Back camera is loaded with every future best one  
  made for camera lover  
PUBG - SMOOTH EXTREME AND HDR ULTRA  
DISPLAY (premium and best feeling)  
High Refresh rate 120hz smooth control  
BETTRY easily long lasting (very very good)  
FAST CHARGE (45 mnt too 50)  
PERFORMANCE (best for professional user) easily multitasking and gaming  
main point is videography / photography / premium display / design / but if u are gamer then go for others i hope u all understand better (u can play pubg smoothly ND ultra HDR but not 90fps)  
FOR ME THIS PHONE IS VERY VERY BEST ALL ROUNDER PHONE I LOVE IT....",1131,240
D_Vivo v25 pro 5G,5,"The camera performance is best in this price segment .  
Screen is smooth as silk . 
The best part is the colour changing back which attracts more viewers and make this phone to stand out in its segment . 
Vivo is famous for its best camera . 
I love my phone",1471,330
D_Vivo v25 pro 5G,5,Display and cemra quality exilent,33,3
D_Vivo v25 pro 5G,5,Very fast,14,0
D_Vivo v25 pro 5G,5,"Mind-blowing purchase... It's a smooth fast charging, camera no words",27,2
D_Vivo v25 pro 5G,5,Very nice vivo v25 pro 5G very nice karo display good performance and good battery. I am happy   thank you Flipkart,685,180
D_Vivo v25 pro 5G,5,"Excellent phone   with all that u need it.
Excellent display is top norch and cam with all the filters.
but Dual speakers and Dolby atmos is missing.
Dnt Know why vivo is not considered the best audio system in phones.",34,4
D_Vivo v25 pro 5G,5,Better experience now,28,3
D_Vivo v25 pro 5G,5,Supper,5,0
D_Vivo v25 pro 5G,5,"Superb Product, beautiful build quality, awesome camera performance",39,6
D_Vivo v25 pro 5G,5,Awesome,15,1
D_Vivo v25 pro 5G,5,Good phone but other Phone croved better,10,0
